Year,Month,Region,POE,Crossing,Modes,source,Northbound Crossing
2025,1,Laredo,Del Rio,Del Rio International Bridge,Buses,LRD_RVG_xlsx,0
2025,1,Laredo,Del Rio,Del Rio International Bridge,Commercial Trucks,LRD_RVG_xlsx,5853
2025,1,Laredo,Del Rio,Del Rio International Bridge,Passenger Vehicles,LRD_RVG_xlsx,132207
2025,1,Laredo,Del Rio,Del Rio International Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,20573
2025,1,Laredo,Del Rio,Lake Amistad Dam Crossing,Buses,LRD_RVG_xlsx,0
2025,1,Laredo,Del Rio,Lake Amistad Dam Crossing,Commercial Trucks,LRD_RVG_xlsx,0
2025,1,Laredo,Del Rio,Lake Amistad Dam Crossing,Passenger Vehicles,LRD_RVG_xlsx,8495
2025,1,Laredo,Del Rio,Lake Amistad Dam Crossing,Pedestrians/ Bicyclists,LRD_RVG_xlsx,0
2025,1,Laredo,Eagle Pass,Camino Real International Bridge,Buses,LRD_RVG_xlsx,531
2025,1,Laredo,Eagle Pass,Camino Real International Bridge,Commercial Trucks,LRD_RVG_xlsx,27117
2025,1,Laredo,Eagle Pass,Camino Real International Bridge,Passenger Vehicles,LRD_RVG_xlsx,138825
2025,1,Laredo,Eagle Pass,Camino Real International Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,43312
2025,1,Laredo,Eagle Pass,Eagle Pass International Bridge,Buses,LRD_RVG_xlsx,0
2025,1,Laredo,Eagle Pass,Eagle Pass International Bridge,Commercial Trucks,LRD_RVG_xlsx,0
2025,1,Laredo,Eagle Pass,Eagle Pass International Bridge,Passenger Vehicles,LRD_RVG_xlsx,85603
2025,1,Laredo,Eagle Pass,Eagle Pass International Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,62752
2025,1,Laredo,Eagle Pass,Union Pacific Eagle Pass Railroad Bridge,Railcars,LRD_RVG_xlsx,33972
2025,1,Laredo,Laredo,Canadian Pacific Kansas City Laredo Railroad Bridge,Railcars,LRD_RVG_xlsx,37131
2025,1,Laredo,Laredo,Colombia Solidarity Bridge,Buses,LRD_RVG_xlsx,0
2025,1,Laredo,Laredo,Colombia Solidarity Bridge,Commercial Trucks,LRD_RVG_xlsx,56804
2025,1,Laredo,Laredo,Colombia Solidarity Bridge,Passenger Vehicles,LRD_RVG_xlsx,40353
2025,1,Laredo,Laredo,Colombia Solidarity Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,1452
2025,1,Laredo,Laredo,Gateway to the Americas Bridge,Buses,LRD_RVG_xlsx,0
2025,1,Laredo,Laredo,Gateway to the Americas Bridge,Commercial Trucks,LRD_RVG_xlsx,0
2025,1,Laredo,Laredo,Gateway to the Americas Bridge,Passenger Vehicles,LRD_RVG_xlsx,132811
2025,1,Laredo,Laredo,Gateway to the Americas Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,231794
2025,1,Laredo,Laredo,Juárez-Lincoln International Bridge,Buses,LRD_RVG_xlsx,2935
2025,1,Laredo,Laredo,Juárez-Lincoln International Bridge,Commercial Trucks,LRD_RVG_xlsx,0
2025,1,Laredo,Laredo,Juárez-Lincoln International Bridge,Passenger Vehicles,LRD_RVG_xlsx,243210
2025,1,Laredo,Laredo,Juárez-Lincoln International Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,0
2025,1,Laredo,Laredo,World Trade Bridge,Buses,LRD_RVG_xlsx,0
2025,1,Laredo,Laredo,World Trade Bridge,Commercial Trucks,LRD_RVG_xlsx,183021
2025,1,Laredo,Laredo,World Trade Bridge,Passenger Vehicles,LRD_RVG_xlsx,0
2025,1,Laredo,Laredo,World Trade Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,0
2025,1,Pharr,Brownsville,Brownsville & Matamoros Express Bridge,Buses,LRD_RVG_xlsx,0
2025,1,Pharr,Brownsville,Brownsville & Matamoros Express Bridge,Commercial Trucks,LRD_RVG_xlsx,0
2025,1,Pharr,Brownsville,Brownsville & Matamoros Express Bridge,Passenger Vehicles,LRD_RVG_xlsx,112709
2025,1,Pharr,Brownsville,Brownsville & Matamoros Express Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,54552
2025,1,Pharr,Brownsville,Free Trade International Bridge (Los Indios),Buses,LRD_RVG_xlsx,0
2025,1,Pharr,Brownsville,Free Trade International Bridge (Los Indios),Commercial Trucks,LRD_RVG_xlsx,5724
2025,1,Pharr,Brownsville,Free Trade International Bridge (Los Indios),Passenger Vehicles,LRD_RVG_xlsx,47360
2025,1,Pharr,Brownsville,Free Trade International Bridge (Los Indios),Pedestrians/ Bicyclists,LRD_RVG_xlsx,3409
2025,1,Pharr,Brownsville,Gateway International Bridge,Buses,LRD_RVG_xlsx,0
2025,1,Pharr,Brownsville,Gateway International Bridge,Commercial Trucks,LRD_RVG_xlsx,0
2025,1,Pharr,Brownsville,Gateway International Bridge,Passenger Vehicles,LRD_RVG_xlsx,92653
2025,1,Pharr,Brownsville,Gateway International Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,137543
2025,1,Pharr,Brownsville,Veterans International Bridge at Los Tomates,Buses,LRD_RVG_xlsx,318
2025,1,Pharr,Brownsville,Veterans International Bridge at Los Tomates,Commercial Trucks,LRD_RVG_xlsx,17708
2025,1,Pharr,Brownsville,Veterans International Bridge at Los Tomates,Passenger Vehicles,LRD_RVG_xlsx,130109
2025,1,Pharr,Brownsville,Veterans International Bridge at Los Tomates,Pedestrians/ Bicyclists,LRD_RVG_xlsx,13811
2025,1,Pharr,Brownsville,West Rail Bridge,Railcars,LRD_RVG_xlsx,8437
2025,1,Pharr,Hidalgo,Anzalduas International Bridge,Buses,LRD_RVG_xlsx,0
2025,1,Pharr,Hidalgo,Anzalduas International Bridge,Commercial Trucks,LRD_RVG_xlsx,0
2025,1,Pharr,Hidalgo,Anzalduas International Bridge,Passenger Vehicles,LRD_RVG_xlsx,139858
2025,1,Pharr,Hidalgo,Anzalduas International Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,0
2025,1,Pharr,Hidalgo,McAllen-Hidalgo International Bridge,Buses,LRD_RVG_xlsx,984
2025,1,Pharr,Hidalgo,McAllen-Hidalgo International Bridge,Commercial Trucks,LRD_RVG_xlsx,0
2025,1,Pharr,Hidalgo,McAllen-Hidalgo International Bridge,Passenger Vehicles,LRD_RVG_xlsx,199304
2025,1,Pharr,Hidalgo,McAllen-Hidalgo International Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,165530
2025,1,Pharr,Hidalgo,Pharr International Bridge,Buses,LRD_RVG_xlsx,0
2025,1,Pharr,Hidalgo,Pharr International Bridge,Commercial Trucks,LRD_RVG_xlsx,63187
2025,1,Pharr,Hidalgo,Pharr International Bridge,Passenger Vehicles,LRD_RVG_xlsx,41526
2025,1,Pharr,Hidalgo,Pharr International Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,0
2025,1,Pharr,Progreso,Donna-Rio Bravo International Bridge,Buses,LRD_RVG_xlsx,0
2025,1,Pharr,Progreso,Donna-Rio Bravo International Bridge,Commercial Trucks,LRD_RVG_xlsx,0
2025,1,Pharr,Progreso,Donna-Rio Bravo International Bridge,Passenger Vehicles,LRD_RVG_xlsx,69785
2025,1,Pharr,Progreso,Donna-Rio Bravo International Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,204
2025,1,Pharr,Progreso,Progreso International Bridge,Buses,LRD_RVG_xlsx,0
2025,1,Pharr,Progreso,Progreso International Bridge,Commercial Trucks,LRD_RVG_xlsx,3837
2025,1,Pharr,Progreso,Progreso International Bridge,Passenger Vehicles,LRD_RVG_xlsx,47271
2025,1,Pharr,Progreso,Progreso International Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,112351
2025,1,Pharr,Rio Grande City,Los Ebanos Ferry,Buses,LRD_RVG_xlsx,0
2025,1,Pharr,Rio Grande City,Los Ebanos Ferry,Commercial Trucks,LRD_RVG_xlsx,0
2025,1,Pharr,Rio Grande City,Los Ebanos Ferry,Passenger Vehicles,LRD_RVG_xlsx,2529
2025,1,Pharr,Rio Grande City,Los Ebanos Ferry,Pedestrians/ Bicyclists,LRD_RVG_xlsx,2365
2025,1,Pharr,Rio Grande City,Starr-Camargo Bridge,Buses,LRD_RVG_xlsx,0
2025,1,Pharr,Rio Grande City,Starr-Camargo Bridge,Commercial Trucks,LRD_RVG_xlsx,3250
2025,1,Pharr,Rio Grande City,Starr-Camargo Bridge,Passenger Vehicles,LRD_RVG_xlsx,35672
2025,1,Pharr,Rio Grande City,Starr-Camargo Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,3247
2025,1,Pharr,Roma,Lake Falcon Dam International Crossing,Buses,LRD_RVG_xlsx,0
2025,1,Pharr,Roma,Lake Falcon Dam International Crossing,Commercial Trucks,LRD_RVG_xlsx,0
2025,1,Pharr,Roma,Lake Falcon Dam International Crossing,Passenger Vehicles,LRD_RVG_xlsx,13162
2025,1,Pharr,Roma,Lake Falcon Dam International Crossing,Pedestrians/ Bicyclists,LRD_RVG_xlsx,0
2025,1,Pharr,Roma,Roma-Ciudad Miguel Alemán International Bridge,Buses,LRD_RVG_xlsx,56
2025,1,Pharr,Roma,Roma-Ciudad Miguel Alemán International Bridge,Commercial Trucks,LRD_RVG_xlsx,3732
2025,1,Pharr,Roma,Roma-Ciudad Miguel Alemán International Bridge,Passenger Vehicles,LRD_RVG_xlsx,57967
2025,1,Pharr,Roma,Roma-Ciudad Miguel Alemán International Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,13727
2025,2,Laredo,Del Rio,Del Rio International Bridge,Buses,LRD_RVG_xlsx,0
2025,2,Laredo,Del Rio,Del Rio International Bridge,Commercial Trucks,LRD_RVG_xlsx,7295
2025,2,Laredo,Del Rio,Del Rio International Bridge,Passenger Vehicles,LRD_RVG_xlsx,113322
2025,2,Laredo,Del Rio,Del Rio International Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,19660
2025,2,Laredo,Del Rio,Lake Amistad Dam Crossing,Buses,LRD_RVG_xlsx,0
2025,2,Laredo,Del Rio,Lake Amistad Dam Crossing,Commercial Trucks,LRD_RVG_xlsx,0
2025,2,Laredo,Del Rio,Lake Amistad Dam Crossing,Passenger Vehicles,LRD_RVG_xlsx,9134
2025,2,Laredo,Del Rio,Lake Amistad Dam Crossing,Pedestrians/ Bicyclists,LRD_RVG_xlsx,0
2025,2,Laredo,Eagle Pass,Camino Real International Bridge,Buses,LRD_RVG_xlsx,396
2025,2,Laredo,Eagle Pass,Camino Real International Bridge,Commercial Trucks,LRD_RVG_xlsx,23894
2025,2,Laredo,Eagle Pass,Camino Real International Bridge,Passenger Vehicles,LRD_RVG_xlsx,136001
2025,2,Laredo,Eagle Pass,Camino Real International Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,26161
2025,2,Laredo,Eagle Pass,Eagle Pass International Bridge,Buses,LRD_RVG_xlsx,0
2025,2,Laredo,Eagle Pass,Eagle Pass International Bridge,Commercial Trucks,LRD_RVG_xlsx,0
2025,2,Laredo,Eagle Pass,Eagle Pass International Bridge,Passenger Vehicles,LRD_RVG_xlsx,71407
2025,2,Laredo,Eagle Pass,Eagle Pass International Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,52002
2025,2,Laredo,Eagle Pass,Union Pacific Eagle Pass Railroad Bridge,Railcars,LRD_RVG_xlsx,34320
2025,2,Laredo,Laredo,Canadian Pacific Kansas City Laredo Railroad Bridge,Railcars,LRD_RVG_xlsx,36631
2025,2,Laredo,Laredo,Colombia Solidarity Bridge,Buses,LRD_RVG_xlsx,0
2025,2,Laredo,Laredo,Colombia Solidarity Bridge,Commercial Trucks,LRD_RVG_xlsx,55406
2025,2,Laredo,Laredo,Colombia Solidarity Bridge,Passenger Vehicles,LRD_RVG_xlsx,30001
2025,2,Laredo,Laredo,Colombia Solidarity Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,1463
2025,2,Laredo,Laredo,Gateway to the Americas Bridge,Buses,LRD_RVG_xlsx,0
2025,2,Laredo,Laredo,Gateway to the Americas Bridge,Commercial Trucks,LRD_RVG_xlsx,0
2025,2,Laredo,Laredo,Gateway to the Americas Bridge,Passenger Vehicles,LRD_RVG_xlsx,125304
2025,2,Laredo,Laredo,Gateway to the Americas Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,218174
2025,2,Laredo,Laredo,Juárez-Lincoln International Bridge,Buses,LRD_RVG_xlsx,2412
2025,2,Laredo,Laredo,Juárez-Lincoln International Bridge,Commercial Trucks,LRD_RVG_xlsx,0
2025,2,Laredo,Laredo,Juárez-Lincoln International Bridge,Passenger Vehicles,LRD_RVG_xlsx,210182
2025,2,Laredo,Laredo,Juárez-Lincoln International Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,0
2025,2,Laredo,Laredo,World Trade Bridge,Buses,LRD_RVG_xlsx,0
2025,2,Laredo,Laredo,World Trade Bridge,Commercial Trucks,LRD_RVG_xlsx,176968
2025,2,Laredo,Laredo,World Trade Bridge,Passenger Vehicles,LRD_RVG_xlsx,0
2025,2,Laredo,Laredo,World Trade Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,0
2025,2,Pharr,Brownsville,Brownsville & Matamoros Express Bridge,Buses,LRD_RVG_xlsx,0
2025,2,Pharr,Brownsville,Brownsville & Matamoros Express Bridge,Commercial Trucks,LRD_RVG_xlsx,0
2025,2,Pharr,Brownsville,Brownsville & Matamoros Express Bridge,Passenger Vehicles,LRD_RVG_xlsx,102931
2025,2,Pharr,Brownsville,Brownsville & Matamoros Express Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,46917
2025,2,Pharr,Brownsville,Free Trade International Bridge (Los Indios),Buses,LRD_RVG_xlsx,0
2025,2,Pharr,Brownsville,Free Trade International Bridge (Los Indios),Commercial Trucks,LRD_RVG_xlsx,7830
2025,2,Pharr,Brownsville,Free Trade International Bridge (Los Indios),Passenger Vehicles,LRD_RVG_xlsx,44455
2025,2,Pharr,Brownsville,Free Trade International Bridge (Los Indios),Pedestrians/ Bicyclists,LRD_RVG_xlsx,21644
2025,2,Pharr,Brownsville,Gateway International Bridge,Buses,LRD_RVG_xlsx,0
2025,2,Pharr,Brownsville,Gateway International Bridge,Commercial Trucks,LRD_RVG_xlsx,0
2025,2,Pharr,Brownsville,Gateway International Bridge,Passenger Vehicles,LRD_RVG_xlsx,84881
2025,2,Pharr,Brownsville,Gateway International Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,131598
2025,2,Pharr,Brownsville,Veterans International Bridge at Los Tomates,Buses,LRD_RVG_xlsx,276
2025,2,Pharr,Brownsville,Veterans International Bridge at Los Tomates,Commercial Trucks,LRD_RVG_xlsx,18139
2025,2,Pharr,Brownsville,Veterans International Bridge at Los Tomates,Passenger Vehicles,LRD_RVG_xlsx,129302
2025,2,Pharr,Brownsville,Veterans International Bridge at Los Tomates,Pedestrians/ Bicyclists,LRD_RVG_xlsx,11863
2025,2,Pharr,Brownsville,West Rail Bridge,Railcars,LRD_RVG_xlsx,7774
2025,2,Pharr,Hidalgo,Anzalduas International Bridge,Buses,LRD_RVG_xlsx,0
2025,2,Pharr,Hidalgo,Anzalduas International Bridge,Commercial Trucks,LRD_RVG_xlsx,0
2025,2,Pharr,Hidalgo,Anzalduas International Bridge,Passenger Vehicles,LRD_RVG_xlsx,96194
2025,2,Pharr,Hidalgo,Anzalduas International Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,0
2025,2,Pharr,Hidalgo,McAllen-Hidalgo International Bridge,Buses,LRD_RVG_xlsx,867
2025,2,Pharr,Hidalgo,McAllen-Hidalgo International Bridge,Commercial Trucks,LRD_RVG_xlsx,0
2025,2,Pharr,Hidalgo,McAllen-Hidalgo International Bridge,Passenger Vehicles,LRD_RVG_xlsx,164619
2025,2,Pharr,Hidalgo,McAllen-Hidalgo International Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,164543
2025,2,Pharr,Hidalgo,Pharr International Bridge,Buses,LRD_RVG_xlsx,0
2025,2,Pharr,Hidalgo,Pharr International Bridge,Commercial Trucks,LRD_RVG_xlsx,50292
2025,2,Pharr,Hidalgo,Pharr International Bridge,Passenger Vehicles,LRD_RVG_xlsx,37923
2025,2,Pharr,Hidalgo,Pharr International Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,0
2025,2,Pharr,Progreso,Donna-Rio Bravo International Bridge,Buses,LRD_RVG_xlsx,0
2025,2,Pharr,Progreso,Donna-Rio Bravo International Bridge,Commercial Trucks,LRD_RVG_xlsx,0
2025,2,Pharr,Progreso,Donna-Rio Bravo International Bridge,Passenger Vehicles,LRD_RVG_xlsx,64200
2025,2,Pharr,Progreso,Donna-Rio Bravo International Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,115
2025,2,Pharr,Progreso,Progreso International Bridge,Buses,LRD_RVG_xlsx,0
2025,2,Pharr,Progreso,Progreso International Bridge,Commercial Trucks,LRD_RVG_xlsx,3341
2025,2,Pharr,Progreso,Progreso International Bridge,Passenger Vehicles,LRD_RVG_xlsx,39831
2025,2,Pharr,Progreso,Progreso International Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,101712
2025,2,Pharr,Rio Grande City,Los Ebanos Ferry,Buses,LRD_RVG_xlsx,0
2025,2,Pharr,Rio Grande City,Los Ebanos Ferry,Commercial Trucks,LRD_RVG_xlsx,0
2025,2,Pharr,Rio Grande City,Los Ebanos Ferry,Passenger Vehicles,LRD_RVG_xlsx,3225
2025,2,Pharr,Rio Grande City,Los Ebanos Ferry,Pedestrians/ Bicyclists,LRD_RVG_xlsx,2641
2025,2,Pharr,Rio Grande City,Starr-Camargo Bridge,Buses,LRD_RVG_xlsx,0
2025,2,Pharr,Rio Grande City,Starr-Camargo Bridge,Commercial Trucks,LRD_RVG_xlsx,3124
2025,2,Pharr,Rio Grande City,Starr-Camargo Bridge,Passenger Vehicles,LRD_RVG_xlsx,33907
2025,2,Pharr,Rio Grande City,Starr-Camargo Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,4500
2025,2,Pharr,Roma,Lake Falcon Dam International Crossing,Buses,LRD_RVG_xlsx,0
2025,2,Pharr,Roma,Lake Falcon Dam International Crossing,Commercial Trucks,LRD_RVG_xlsx,0
2025,2,Pharr,Roma,Lake Falcon Dam International Crossing,Passenger Vehicles,LRD_RVG_xlsx,11405
2025,2,Pharr,Roma,Lake Falcon Dam International Crossing,Pedestrians/ Bicyclists,LRD_RVG_xlsx,0
2025,2,Pharr,Roma,Roma-Ciudad Miguel Alemán International Bridge,Buses,LRD_RVG_xlsx,64
2025,2,Pharr,Roma,Roma-Ciudad Miguel Alemán International Bridge,Commercial Trucks,LRD_RVG_xlsx,4257
2025,2,Pharr,Roma,Roma-Ciudad Miguel Alemán International Bridge,Passenger Vehicles,LRD_RVG_xlsx,54676
2025,2,Pharr,Roma,Roma-Ciudad Miguel Alemán International Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,7250
2025,3,Laredo,Del Rio,Del Rio International Bridge,Buses,LRD_RVG_xlsx,0
2025,3,Laredo,Del Rio,Del Rio International Bridge,Commercial Trucks,LRD_RVG_xlsx,6767
2025,3,Laredo,Del Rio,Del Rio International Bridge,Passenger Vehicles,LRD_RVG_xlsx,132210
2025,3,Laredo,Del Rio,Del Rio International Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,21309
2025,3,Laredo,Del Rio,Lake Amistad Dam Crossing,Buses,LRD_RVG_xlsx,0
2025,3,Laredo,Del Rio,Lake Amistad Dam Crossing,Commercial Trucks,LRD_RVG_xlsx,0
2025,3,Laredo,Del Rio,Lake Amistad Dam Crossing,Passenger Vehicles,LRD_RVG_xlsx,11148
2025,3,Laredo,Del Rio,Lake Amistad Dam Crossing,Pedestrians/ Bicyclists,LRD_RVG_xlsx,0
2025,3,Laredo,Eagle Pass,Camino Real International Bridge,Buses,LRD_RVG_xlsx,492
2025,3,Laredo,Eagle Pass,Camino Real International Bridge,Commercial Trucks,LRD_RVG_xlsx,30351
2025,3,Laredo,Eagle Pass,Camino Real International Bridge,Passenger Vehicles,LRD_RVG_xlsx,144092
2025,3,Laredo,Eagle Pass,Camino Real International Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,37895
2025,3,Laredo,Eagle Pass,Eagle Pass International Bridge,Buses,LRD_RVG_xlsx,0
2025,3,Laredo,Eagle Pass,Eagle Pass International Bridge,Commercial Trucks,LRD_RVG_xlsx,0
2025,3,Laredo,Eagle Pass,Eagle Pass International Bridge,Passenger Vehicles,LRD_RVG_xlsx,74707
2025,3,Laredo,Eagle Pass,Eagle Pass International Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,70308
2025,3,Laredo,Eagle Pass,Union Pacific Eagle Pass Railroad Bridge,Railcars,LRD_RVG_xlsx,38097
2025,3,Laredo,Laredo,Canadian Pacific Kansas City Laredo Railroad Bridge,Railcars,LRD_RVG_xlsx,40921
2025,3,Laredo,Laredo,Colombia Solidarity Bridge,Buses,LRD_RVG_xlsx,0
2025,3,Laredo,Laredo,Colombia Solidarity Bridge,Commercial Trucks,LRD_RVG_xlsx,65798
2025,3,Laredo,Laredo,Colombia Solidarity Bridge,Passenger Vehicles,LRD_RVG_xlsx,43847
2025,3,Laredo,Laredo,Colombia Solidarity Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,1482
2025,3,Laredo,Laredo,Gateway to the Americas Bridge,Buses,LRD_RVG_xlsx,0
2025,3,Laredo,Laredo,Gateway to the Americas Bridge,Commercial Trucks,LRD_RVG_xlsx,0
2025,3,Laredo,Laredo,Gateway to the Americas Bridge,Passenger Vehicles,LRD_RVG_xlsx,143066
2025,3,Laredo,Laredo,Gateway to the Americas Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,271041
2025,3,Laredo,Laredo,Juárez-Lincoln International Bridge,Buses,LRD_RVG_xlsx,2606
2025,3,Laredo,Laredo,Juárez-Lincoln International Bridge,Commercial Trucks,LRD_RVG_xlsx,0
2025,3,Laredo,Laredo,Juárez-Lincoln International Bridge,Passenger Vehicles,LRD_RVG_xlsx,221954
2025,3,Laredo,Laredo,Juárez-Lincoln International Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,0
2025,3,Laredo,Laredo,World Trade Bridge,Buses,LRD_RVG_xlsx,0
2025,3,Laredo,Laredo,World Trade Bridge,Commercial Trucks,LRD_RVG_xlsx,199822
2025,3,Laredo,Laredo,World Trade Bridge,Passenger Vehicles,LRD_RVG_xlsx,0
2025,3,Laredo,Laredo,World Trade Bridge,Pedestrians/ Bicyclists,LRD_RVG_xlsx,0
2025,3,Pharr,Brownsville,Brownsville & Matamoros Express Bridge,Buses,LRD_RVG_xlsx,0
